layer,"ruler/4096,none","ruler/4096_stderr,none","niah_multikey_1/4096,none","niah_multikey_1/4096_stderr,none","niah_multikey_2/4096,none","niah_multikey_2/4096_stderr,none","niah_multikey_3/4096,none","niah_multikey_3/4096_stderr,none","niah_multiquery/4096,none","niah_multiquery/4096_stderr,none","niah_multivalue/4096,none","niah_multivalue/4096_stderr,none","niah_single_1/4096,none","niah_single_1/4096_stderr,none","niah_single_2/4096,none","niah_single_2/4096_stderr,none","niah_single_3/4096,none","niah_single_3/4096_stderr,none","ruler_cwe/4096,none","ruler_cwe/4096_stderr,none","ruler_fwe/4096,none","ruler_fwe/4096_stderr,none","ruler_qa_hotpot/4096,none","ruler_qa_hotpot/4096_stderr,none","ruler_qa_squad/4096,none","ruler_qa_squad/4096_stderr,none","ruler_vt/4096,none","ruler_vt/4096_stderr,none"
baseline,0.9155410256410257,N/A,1.0,N/A,0.992,N/A,0.994,N/A,0.9995,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8234,N/A,0.876,N/A,0.5,N/A,0.7288333333333333,N/A,0.9967999999999999,N/A
5,0.8602076923076923,N/A,0.992,N/A,0.7,N/A,0.766,N/A,0.9955,N/A,0.9205,N/A,0.998,N/A,1.0,N/A,1.0,N/A,0.8054,N/A,0.872,N/A,0.436,N/A,0.7085,N/A,0.9887999999999999,N/A
7,0.9151794871794873,N/A,0.998,N/A,0.992,N/A,0.984,N/A,1.0,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,0.998,N/A,0.825,N/A,0.8766666666666666,N/A,0.502,N/A,0.7321666666666666,N/A,0.998,N/A
6,0.9192153846153845,N/A,0.998,N/A,0.99,N/A,0.996,N/A,0.9995,N/A,0.99,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8302,N/A,0.8953333333333334,N/A,0.522,N/A,0.7311666666666666,N/A,0.9976,N/A
2,0.9182,N/A,1.0,N/A,0.992,N/A,0.996,N/A,0.9995,N/A,0.992,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8268000000000001,N/A,0.884,N/A,0.514,N/A,0.7355,N/A,0.9967999999999999,N/A
3,0.9153974358974359,N/A,0.998,N/A,0.988,N/A,0.992,N/A,0.9995,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8282,N/A,0.8766666666666666,N/A,0.506,N/A,0.7215,N/A,0.9987999999999999,N/A
1,0.9175923076923076,N/A,0.998,N/A,0.99,N/A,0.992,N/A,1.0,N/A,0.992,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8356,N/A,0.894,N/A,0.502,N/A,0.7275,N/A,0.9976,N/A
4,0.9171128205128205,N/A,0.998,N/A,0.994,N/A,0.992,N/A,0.999,N/A,0.988,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8234,N/A,0.886,N/A,0.512,N/A,0.7336666666666666,N/A,0.9964,N/A
11,0.9148897435897436,N/A,1.0,N/A,0.984,N/A,0.99,N/A,0.9995,N/A,0.9905,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8266,N/A,0.8646666666666666,N/A,0.5,N/A,0.7415,N/A,0.9967999999999999,N/A
9,0.9169948717948718,N/A,1.0,N/A,0.99,N/A,0.992,N/A,0.9995,N/A,0.992,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.822,N/A,0.8746666666666666,N/A,0.512,N/A,0.7411666666666666,N/A,0.9976,N/A
0,0.9169410256410256,N/A,1.0,N/A,0.992,N/A,0.994,N/A,0.9995,N/A,0.9925,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8266,N/A,0.8826666666666666,N/A,0.506,N/A,0.7301666666666666,N/A,0.9967999999999999,N/A
15,0.915248717948718,N/A,0.998,N/A,0.994,N/A,0.982,N/A,0.998,N/A,0.994,N/A,1.0,N/A,1.0,N/A,0.998,N/A,0.817,N/A,0.8793333333333334,N/A,0.516,N/A,0.7255,N/A,0.9964,N/A
14,0.9156128205128204,N/A,0.998,N/A,0.992,N/A,0.988,N/A,0.9995,N/A,0.9905,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8284,N/A,0.8713333333333334,N/A,0.502,N/A,0.7348333333333333,N/A,0.9984,N/A
12,0.9177897435897436,N/A,0.998,N/A,0.992,N/A,0.99,N/A,0.9995,N/A,0.985,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8364,N/A,0.8866666666666666,N/A,0.516,N/A,0.7305,N/A,0.9972000000000001,N/A
13,0.9019897435897436,N/A,0.998,N/A,0.912,N/A,0.886,N/A,0.9985,N/A,0.994,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.827,N/A,0.8813333333333334,N/A,0.494,N/A,0.7398333333333333,N/A,0.9952000000000001,N/A
10,0.9158820512820512,N/A,0.998,N/A,0.998,N/A,0.99,N/A,1.0,N/A,0.9935,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8284,N/A,0.8693333333333334,N/A,0.5,N/A,0.7328333333333333,N/A,0.9964,N/A
8,0.9176589743589744,N/A,0.998,N/A,0.994,N/A,0.992,N/A,0.9995,N/A,0.9885,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8324,N/A,0.8813333333333334,N/A,0.518,N/A,0.7298333333333333,N/A,0.996,N/A
19,0.9101538461538462,N/A,1.0,N/A,0.996,N/A,0.99,N/A,0.998,N/A,0.9285,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8218,N/A,0.8893333333333334,N/A,0.492,N/A,0.7271666666666666,N/A,0.9892000000000001,N/A
17,0.8725051282051282,N/A,0.994,N/A,0.62,N/A,0.97,N/A,0.9925,N/A,0.914,N/A,1.0,N/A,1.0,N/A,0.996,N/A,0.8166,N/A,0.8966666666666666,N/A,0.456,N/A,0.724,N/A,0.9628,N/A
22,0.8942794871794871,N/A,0.986,N/A,0.936,N/A,0.862,N/A,0.9975,N/A,0.9575,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8242,N/A,0.8513333333333334,N/A,0.482,N/A,0.7335,N/A,0.9956,N/A
